time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pigeon yaw, pigeon raw
371947525,125.857,243.717,-0.58,91.4062,-89.8239,91.4942,90.0879,179.152,-176.477,176.345,175.474,0.760651,-0.271729,-0.44989,0.58,0,0
372011273,132.474,243.687,-0.54,90.3515,-91.4059,90.3516,89.3847,171.663,-170.753,169.898,168.661,3.65112,-0.145935,0.282898,0.55,0,0
372047524,136.065,243.687,-0.61,90.1758,-91.318,90.1758,88.7695,168.731,-166.857,166.165,164.858,4.25964,-0.699829,-0.245178,0.64,0,0
372092421,141.111,243.706,-0.66,89.2969,-91.318,89.6485,88.8574,163.653,-161.833,161.149,159.788,-0.15213,-1.41357,-0.0534668,0.65,0,0
372151305,146.234,243.764,-0.65,89.0332,-91.8454,89.209,88.418,158.489,-156.786,156.063,154.593,6.69373,0.90033,0.760254,0.7,0,0
372209258,152.405,243.958,-0.78,88.1543,-93.6911,88.2422,87.0117,152.291,-150.479,150.106,148.356,-0,-0.49823,0.376099,0.82,0,0
372261670,158.286,244.155,-0.84,87.8906,-93.6911,87.9786,86.8359,145.79,-144.095,144.725,143.084,6.38947,-0.733887,-0.281433,0.86,0,0
372331530,164.755,244.41,-0.97,87.1875,-93.6911,87.4512,86.1328,139.312,-137.539,138.371,136.575,4.25964,1.11182,-0.221558,1.07,0,0
372379029,171.356,244.714,-1.09,86.748,-94.4821,87.0118,85.6933,132.958,-131.271,130.921,130.213,-21.4503,-0.410889,-2.3335,0.95,0,0
372447953,177.065,245.234,-0.26,86.1328,-95.5368,85.9571,82.0898,127.507,-125.819,125.431,123.665,-16.2779,-0.442017,0.667053,0.06,0,0
372512737,184.665,245.94,0.1,86.1328,-96.8551,86.3086,83.8476,120.002,-117.397,118.354,116.13,0.760651,1.23651,1.52234,-0.1,0,0
372568592,191.805,246.549,-0.27,86.2207,-96.8551,86.2208,84.5508,114.217,-109.255,111.985,107.754,-20.6897,-1.66388,-4.44983,0.24,0,0
372616699,196.585,246.948,0.02,86.3086,-97.734,86.3965,85.166,108.415,-105.483,107.233,102.886,-36.8155,1.52673,-0.934021,-0.17,0,0
372685734,202.105,247.513,0.67,86.1328,-97.734,85.6934,85.2539,103.189,-99.7908,100.848,97.9866,-37.424,-1.28156,0.378845,-1.11,0,0
372757108,210.1,248.361,0.6,86.1328,-99.0524,85.8692,85.0781,94.9225,-92.0451,92.885,89.7821,-11.5619,-1.50604,-0.714294,-0.68,0,0
372827413,216.94,248.98,-0.36,86.0449,-99.0524,85.6055,85.2539,87.6902,-85.0928,85.9093,83.4519,125.051,0.816284,0.0955811,1.46,0,0
372876743,222.795,249.27,-2.34,86.1328,-97.6461,85.5176,85.0781,80.8622,-79.3924,80.2634,78.1715,73.1746,-0.218994,0.156189,2.69,0,0
372944607,227.839,249.354,-4.43,86.1328,-97.734,85.254,85.166,75.9862,-73.7932,74.5942,74.1276,33.1644,0.072876,0.438354,5.08,0,0
373005851,233.343,249.311,-5.62,86.2207,-97.5583,85.6934,85.166,70.0837,-67.7896,69.8271,68.7772,61.917,0.0866089,0.127808,6.26,0,0
373075809,237.932,249.104,-7.13,87.539,-97.5583,86.4844,85.0781,65.791,-63.6913,64.6789,63.9323,42.9007,1.60474,0.0897217,7.38,0,0
373129876,241.93,248.221,-7.99,104.062,-94.1305,98.7012,86.1328,60.7983,-59.5696,60.7517,60.4328,27.0792,1.58734,0.681519,8.14,0,0
373177987,244.529,247.096,-8.38,119.619,-84.0231,115.488,90.2637,57.9287,-56.179,58.0687,57.781,-0.760651,2.42834,2.10077,8.39,0,0
373231206,246.207,245.621,-6.54,149.238,-65.3024,133.594,105.381,55.8368,-54.5225,55.4246,54.8258,-185.599,3.60919,2.98169,5.4,0,0
373281857,246.708,244.531,-2.84,-177.363,-74.3551,150.205,118.652,53.9159,-54.3125,53.5349,53.496,-226.37,1.32642,0.463989,1.47,0,0
373328361,246.631,243.35,1.24,-153.457,-95.0973,168.838,135.703,51.894,-55.2069,51.7307,52.0184,-194.422,-0.0657349,-0.561768,-2.45,0,0
373372502,246.115,242.247,4.49,-138.779,-117.861,-174.727,160.225,49.8487,-56.5522,50.3775,51.2485,-195.944,0.617249,-0.2547,-5.66,0,0
373430968,245.578,241.081,8.58,-136.406,-130.957,-156.182,-162.51,48.4022,-57.6876,48.8222,50.1209,-85.0407,-0.534485,-0.984009,-9.15,0,0
373487098,244.806,239.986,9.91,-135.352,-141.328,-131.572,-133.154,46.7069,-58.7064,47.2357,49.0555,-7.60651,-0.468384,-0.614502,-10,0,0
373524247,244.227,239.384,9.94,-132.891,-147.656,-112.06,-124.189,45.8359,-59.2508,46.1314,48.1534,33.6208,-0.593811,-0.716675,-9.77,0,0
373581009,243.708,238.887,8.77,-124.98,-163.476,-97.3828,-123.838,45.4938,-59.9895,45.1827,47.0413,43.205,-0.0756226,0.157104,-8.5,0,0
373621694,243.307,238.579,7.85,-121.289,-174.902,-87.6269,-124.893,45.486,-60.4717,44.2728,46.0692,73.1746,-0.0679321,-0.264404,-7.43,0,0
